DriverID,LastName,FirstName,BirthDate,HireDate,Salary,Address,City,Region,PostalCode,Country,Phone,Note,rate,ReportTo
,Graff,Clair,1-26-1980,6-20-2018,1800,Larch Mont Road,Montreal,QC,H9J 2T3,Canada,514197756,NULL,2,1
,Kilwine,Darlene,1-6-1981,8-11-2017,1000,Fir Street,Montreal,QC,H9H 5K9,Canada,514302314,NULL,2,1
,LaBrie,Robert,2-21-1983,8-21-2018,800,Larch Mont Road,Montreal,QC,H9J 1K5,Canada,514984387,NULL,2,1
,Joshua,Daniel,3-12-1984,9-28-2017,6700,Elm Street,Montreal,QC,NULL,Canada,514286743,NULL,2,1
,Gary,Jose,3-30-1985,10-26-2017,1900,Dogwood Drive,Montreal,QC,H9J 2M7,Canada,514902345,NULL,2,1
,Martin,Nate,4-19-1986,11-13-2017,490,Pine Place,Montreal,QC,H9H 4A3,Canada,514892478,NULL,2,1
,Miksovsky,Frank,5-21-1979,12-1-2017,900,The Highlands,Montreal,QC,H9J 1M4,Canada,514835643,NULL,2,1
,Anne,Mary,6-2-1976,12-25-2017,300,James Road,Montreal,QC,H9H 3Y5,Canada,514237619,NULL,2,1
,Jose,Michael,7-6-1978,1-7-2018,200,Tamarack Road,Montreal,QC,H9H 4C8,Canada,514129843,NULL,2,1
,Darlene,Sarah,7-24-1987,2-10-2018,1600,Bowery Estates Road,Montreal,QC,Null,Canada,514782465,NULL,2,1
,Miks,Karl,8-5-1980,2-22-2017,2100,Marie Le Ber,Montreal,QC,H9H 3H3,Canada,514987034,NULL,2,1
,Funk,Stephen,8-25-1977,3-9-2018,900,mapple street,Montreal,QC,H9H 3J7,Canada,514435678,NULL,2,1
,Barr,Monica,9-10-1980,3-17-2017,700,Saint Jean,Montreal,QC,H9H 3N7,Canada,514902350,NULL,2,1
